PC=000000000000007c, REG[ 1]=9c90c862f6f66b20
PC=0000000000000080, REG[12]=000000007aee8f7a
PC=0000000000000084, REG[13]=000000009c90c862
PC=0000000000000088, REG[ 0]=000000000000052d
PC=000000000000008c, ---
PC=0000000000000090, REG[ 0]=000000000000054d
PC=0000000000000094, ---
PC=0000000000000050, REG[ 3]=000000000b504ffd
PC=0000000000000054, REG[ 4]=0000000000000000
PC=0000000000000058, REG[ 4]=0000000000000001
PC=000000000000005c, REG[ 5]=0000000000000001
PC=0000000000000060, REG[10]=8223ce3f012ddea0
PC=0000000000000064, REG[10]=8223ce3f0c7e2e9d
PC=0000000000000068, REG[11]=238a6548efb00129
PC=000000000000006c, REG[11]=238a6548fb005126
PC=0000000000000070, REG[12]=0591bcd71b3a528e
PC=0000000000000074, REG[12]=0591bcd7268aa28b
PC=0000000000000078, REG[10]=000000008223ce3f
PC=000000000000007c, REG[11]=00000000238a6548
PC=0000000000000080, REG[10]=0000000000000000
PC=0000000000000084, REG[11]=0000000000000000
PC=0000000000000088, REG[ 0]=000000000000056d
PC=000000000000008c, ---
PC=0000000000000090, REG[ 0]=000000000000058d
PC=0000000000000094, ---
PC=0000000000000050, REG[ 3]=000000000b504ffd
PC=0000000000000054, REG[ 4]=0000000000000000
PC=0000000000000058, REG[ 4]=0000000000000001
PC=000000000000005c, REG[ 5]=0000000000000001
PC=0000000000000060, REG[10]=8223ce3f012ddea0
PC=0000000000000064, REG[10]=8223ce3f0c7e2e9d
PC=0000000000000068, REG[11]=238a6548efb00129
PC=000000000000006c, REG[11]=238a6548fb005126
PC=0000000000000070, REG[12]=0591bcd71b3a528e
PC=0000000000000074, REG[12]=0591bcd7268aa28b
PC=0000000000000078, REG[ 1]=6e6529097352335f
PC=000000000000007c, REG[ 1]=6e6529097ea2835c
PC=0000000000000080, REG[12]=000000000591bcd7
PC=0000000000000084, REG[13]=000000006e652909
PC=0000000000000088, REG[ 0]=00000000000005ad
PC=000000000000008c, ---
PC=0000000000000090, REG[ 0]=00000000000005cd
PC=0000000000000094, ---
PC=0000000000000050, REG[ 3]=000000000b504ffd
PC=0000000000000054, REG[ 4]=0000000000000000
PC=0000000000000058, REG[ 4]=0000000000000001
PC=000000000000005c, REG[ 5]=0000000000000001
PC=0000000000000060, REG[10]=d04f6519b42b11ec
PC=0000000000000064, REG[10]=d04f6519bf7b61e9
PC=0000000000000068, REG[11]=c24b28e23f6ff345
PC=000000000000006c, REG[11]=c24b28e24ac04342
PC=0000000000000070, REG[12]=056a0bfa199fd83a
PC=0000000000000074, REG[12]=056a0bfa24f02837
PC=0000000000000078, REG[10]=00000000d04f6519
PC=000000000000007c, REG[11]=00000000c24b28e2
PC=0000000000000080, REG[10]=0000000000000000
PC=0000000000000084, REG[11]=0000000000000000
PC=0000000000000088, REG[ 0]=00000000000005ed
PC=000000000000008c, ---
PC=0000000000000090, REG[ 0]=000000000000060d
PC=0000000000000094, ---
PC=0000000000000050, REG[ 3]=000000000b504ffd
PC=0000000000000054, REG[ 4]=0000000000000000
PC=0000000000000058, REG[ 4]=0000000000000001
PC=000000000000005c, REG[ 5]=0000000000000001
PC=0000000000000060, REG[10]=d04f6519b42b11ec
PC=0000000000000064, REG[10]=d04f6519bf7b61e9
PC=0000000000000068, REG[11]=c24b28e23f6ff345
PC=000000000000006c, REG[11]=c24b28e24ac04342
PC=0000000000000070, REG[12]=056a0bfa199fd83a
PC=0000000000000074, REG[12]=056a0bfa24f02837
PC=0000000000000078, REG[ 1]=7fa8dd5643cd8e5b
PC=000000000000007c, REG[ 1]=7fa8dd564f1dde58
PC=0000000000000080, REG[12]=00000000056a0bfa
PC=0000000000000084, REG[13]=000000007fa8dd56
PC=0000000000000088, REG[ 0]=000000000000062d
PC=000000000000008c, ---
PC=0000000000000090, REG[ 0]=000000000000064d
PC=0000000000000094, ---
PC=0000000000000050, REG[ 3]=000000000b504ffd
PC=0000000000000054, REG[ 4]=0000000000000000
PC=0000000000000058, REG[ 4]=0000000000000001
PC=000000000000005c, REG[ 5]=0000000000000001
PC=0000000000000060, REG[10]=362ecc89fde13cf8
PC=0000000000000064, REG[10]=362ecc8a09318cf5
PC=0000000000000068, REG[11]=966e28414250be21
PC=000000000000006c, REG[11]=966e28414da10e1e
PC=0000000000000070, REG[12]=14860e07f87f93a6
PC=0000000000000074, REG[12]=14860e0803cfe3a3
PC=0000000000000078, REG[10]=00000000362ecc8a
PC=000000000000007c, REG[11]=00000000966e2841
PC=0000000000000080, REG[10]=0000000000000000
PC=0000000000000084, REG[11]=0000000000000000
PC=0000000000000088, REG[ 0]=000000000000066d
PC=000000000000008c, ---
PC=0000000000000090, REG[ 0]=000000000000068d
PC=0000000000000094, ---
PC=0000000000000050, REG[ 3]=000000000b504ffd
PC=0000000000000054, REG[ 4]=0000000000000000
PC=0000000000000058, REG[ 4]=0000000000000001
PC=000000000000005c, REG[ 5]=0000000000000001
PC=0000000000000060, REG[10]=362ecc89fde13cf8
PC=0000000000000064, REG[10]=362ecc8a09318cf5
PC=0000000000000068, REG[11]=966e28414250be21
PC=000000000000006c, REG[11]=966e28414da10e1e
PC=0000000000000070, REG[12]=14860e07f87f93a6
PC=0000000000000074, REG[12]=14860e0803cfe3a3
PC=0000000000000078, REG[ 1]=36656ef426040817
PC=000000000000007c, REG[ 1]=36656ef431545814
PC=0000000000000080, REG[12]=0000000014860e08
PC=0000000000000084, REG[13]=0000000036656ef4
PC=0000000000000088, REG[ 0]=00000000000006ad
PC=000000000000008c, ---
PC=0000000000000090, REG[ 0]=00000000000006cd
PC=0000000000000094, ---
PC=0000000000000050, REG[ 3]=000000000b504ffd
PC=0000000000000054, REG[ 4]=0000000000000000
PC=0000000000000058, REG[ 4]=0000000000000001
PC=000000000000005c, REG[ 5]=0000000000000001
PC=0000000000000060, REG[10]=68a2a7a5d6a8cbc4
PC=0000000000000064, REG[10]=68a2a7a5e1f91bc1
PC=0000000000000068, REG[11]=6dfe109771f51dbd
PC=000000000000006c, REG[11]=6dfe10977d456dba
PC=0000000000000070, REG[12]=2daa498b0eed50d2
PC=0000000000000074, REG[12]=2daa498b1a3da0cf
PC=0000000000000078, REG[10]=0000000068a2a7a5
PC=000000000000007c, REG[11]=000000006dfe1097
PC=0000000000000080, REG[10]=0000000000000000
PC=0000000000000084, REG[11]=0000000000000000
PC=0000000000000088, REG[ 0]=00000000000006ed
PC=000000000000008c, ---
PC=0000000000000090, REG[ 0]=000000000000070d
PC=0000000000000094, ---
PC=0000000000000050, REG[ 3]=000000000b504ffd
PC=0000000000000054, REG[ 4]=0000000000000000
PC=0000000000000058, REG[ 4]=0000000000000001
PC=000000000000005c, REG[ 5]=0000000000000001
PC=0000000000000060, REG[10]=68a2a7a5d6a8cbc4
PC=0000000000000064, REG[10]=68a2a7a5e1f91bc1
PC=0000000000000068, REG[11]=6dfe109771f51dbd
PC=000000000000006c, REG[11]=6dfe10977d456dba
PC=0000000000000070, REG[12]=2daa498b0eed50d2
PC=0000000000000074, REG[12]=2daa498b1a3da0cf
